Country,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Chad,0.0400465,0.0390198,0.0462089,0.0432042,0.0393013,0.0399128,0.0390792,0.0409578,0.0188262,0.019992,0.0212038,0.0151209,0.0147168,0.0152314,0.0147365,0.0147093,0.0151988,0.0151334,0.0138837,0.0113427,0.0246456,0.0178114,0.0118242,0.036622,0.0356716,0.0352886,0.0436667,0.0425172,0.0435438,0.0453313,0.0463174,0.0456155,0.0448189,0.0465403,0.0439365,0.0448414,0.037582,0.041279,0.031709,0.0403358,0.034206,0.0451983,0.0356144,0.0341491,0.0250006,0.0321189,0.030485,0.0287854,0.027012,0.0167693,0.0183191
Chile,4.21312,3.95883,4.23168,4.2687,3.90151,3.77838,3.71389,3.44333,3.49952,3.37337,3.79788,3.98828,3.82918,3.77685,3.30903,2.94018,2.73772,2.54145,2.43058,2.39153,2.5839,2.49494,2.11073,1.80787,1.80411,1.77318,1.86138,1.77635,1.78597,2.16085,2.25739,2.2538,2.10952,2.15377,2.2781,2.20728,2.52818,2.7378,2.83919,2.7775,2.57485,2.39936,2.30199,2.13132,2.12408,2.05298,2.07268,2.10324,2.07826,1.84478,1.76374
China,6.19486,5.77814,5.31115,5.15356,4.89273,4.44115,4.08014,3.51225,2.88523,2.74212,2.69686,2.64865,2.67675,2.82057,2.84431,2.75575,2.56599,2.4428,2.31421,2.2459,2.1677,2.15308,2.15091,2.03841,1.93943,1.87105,1.75045,1.62906,1.56674,1.46043,1.49525,1.54268,1.5292,1.38884,1.28528,1.25012,1.09737,1.0982,1.08068,1.04224,0.942935,0.72515,0.605452,0.574162,0.710891,0.665524,0.625646,0.640002,0.661428,0.836047,1.17038
Colombia,1.62945,1.54686,1.47141,1.42565,1.43564,1.4113,1.29495,1.37136,1.35047,1.38747,1.4518,1.44038,1.71066,1.71259,1.6255,1.62997,1.88141,1.81569,1.79291,1.68214,1.72148,1.63008,1.63846,1.6098,1.59844,1.60852,1.66384,1.7168,1.62971,1.61374,1.64681,1.68779,1.6203,1.56574,1.55101,1.49591,1.55544,1.47001,1.40514,1.38601,1.33075,1.34881,1.31476,1.25652,1.22988,1.23312,1.20453,1.21488,1.14459,1.10484,1.0252
Comoros,0.203996,0.187177,0.192022,0.19125,0.196279,0.183126,0.175398,0.173551,0.164875,0.162384,0.159642,0.15664,0.146058,0.134809,0.138219,0.173159,0.169371,0.17351,0.177728,0.182063,0.186552,0.1548,0.158743,0.153282,0.137674,0.151501,0.134913,0.138696,0.142728,0.147134,0.152013,0.0726911,0.100674,0.143933,0.149445,0.126515,0.115814,0.118741,0.121339,0.123841,0.126448,0.080772,0.0825964,0.0844721,0.0863307,0.0704921,0.0538868,0.0548665,0.055822,0.0567782,0.0577556
Congo Dem. Rep.,0.0488806,0.044984,0.0479424,0.0455266,0.0434703,0.0411984,0.0368885,0.0333087,0.0311773,0.0325079,0.0350694,0.0489849,0.0563577,0.0663878,0.0753424,0.0706123,0.0608888,0.0868707,0.0959245,0.103578,0.116594,0.13025,0.122985,0.121421,0.109398,0.121217,0.135552,0.141323,0.110666,0.139577,0.132865,0.146389,0.141879,0.143878,0.144937,0.141382,0.151237,0.147246,0.143059,0.144089,0.135612,0.187695,0.178181,0.124706,0.134675,0.14229,0.116926,0.139446,0.135559,0.150782,0.152228
Congo Rep.,0.493189,0.471782,0.380277,0.38242,0.367037,0.41091,0.342366,0.322717,0.215527,0.268822,0.335475,0.269806,0.262516,0.814087,0.613445,0.575531,0.81156,0.598741,0.626296,0.517002,0.498517,0.649491,0.663987,0.602262,0.499089,0.615602,0.56448,0.58302,0.706299,0.255703,0.226583,0.199645,0.190342,0.291611,0.772219,0.707959,1.07724,0.834795,0.467889,0.498394,0.428474,0.387547,0.358141,0.2636,0.258755,0.212184,0.237615,0.21404,0.223265,0.257406,0.22069
Costa Rica,1.664,1.69905,1.90764,1.92091,1.69304,1.64076,1.63214,1.5886,1.54514,1.43537,1.39323,1.4375,1.41769,1.36334,1.33145,1.39903,1.55278,1.19344,1.1726,1.05735,0.960063,0.990917,1.00567,0.968205,0.940283,0.839766,0.762573,0.824234,0.840203,0.932379,1.04931,1.22336,1.31542,1.2093,0.991045,0.993556,0.952297,1.04622,0.922884,0.819016,0.686265,0.64624,0.600162,0.521289,0.608733,0.535082,0.440185,0.405825,0.384358,0.355676,0.368337
Cote d&apos;Ivoire,0.305896,0.314827,0.376339,0.383472,0.396131,0.44989,0.44703,0.322899,0.436962,0.470541,0.421,0.396583,0.44779,0.543389,0.57264,0.50166,0.380549,0.440576,0.357045,0.449812,0.478509,0.727693,0.809462,0.702952,0.565859,0.721268,0.553154,0.515695,0.678453,0.517534,0.752872,0.685494,0.636612,0.560411,0.573154,0.603914,0.564473,0.53287,0.524437,0.493157,0.465903,0.416392,0.367893,0.32427,0.29419,0.278084,0.188345,0.16026,0.156856,0.153722,0.132972
Cuba,3.40054,2.6487,2.69498,2.36568,2.42518,2.30306,2.21808,2.26621,2.32701,2.27755,2.3378,2.27685,2.20936,2.23195,2.45518,2.34705,2.95987,2.7119,2.91304,2.77337,3.14507,3.40241,3.42776,3.3009,3.29622,3.22646,3.25104,3.09202,3.47957,3.31269,3.1927,3.24385,3.16057,3.05201,2.85251,2.86767,2.45951,2.44089,2.30454,2.21055,2.14254,2.01568,1.90601,1.90594,1.87229,1.83721,1.83559,1.71164,1.90181,1.67106,1.91845
